Anglican Nonconformist
Anglophilia Anglophobia
Anglophobia Anglophilia
Arabic_numeral Roman_numeral
Arianism Athanasianism
Athanasianism Arianism
CISC RISC
Cryptogamia Phanerogamae
Heaven Hell
Hell Heaven
Lady Lord
Lord Lady
Nonconformist Anglican
Phanerogamae Cryptogamia
RISC CISC
Roman_numeral Arabic_numeral
Romanticism classicism
a_la_carte table_d'hote
a_posteriori a_priori
a_priori a_posteriori
abactinal actinal
abandon accept
abandon adopt
abandon continue
abandon defend
abandon embrace
abandon favor
abandon pursue
abandon renew
abaxial adaxial
abaxially adaxially
abducent adducent
abduct adduct
abduct slaughter
abhor embrace
abhor tolerate
abience adience
abient adient
ability inability
able unable
abnormal normal
abnormality normality
abolish ban
abolish enact
abolish establish
abolish impose
abolish institute
abolish legalize
abolish reinstate
abolish repeal
aborad orad
aboral oral
above below
abranchiate branchiate
abridged unabridged
abrogate enforce
abrogate ratify
abrogate renegotiate
abrogate revise
abruptness gradualness
absence presence
absent present
absolute relative
absolve blame
absorb emit
absorb generate
absorb produce
absorb recoup
absorb secrete
absorb supply
absorb withstand
absorbable adsorbable
absorbency nonabsorbency
absorbent nonabsorbent
abstain consume
abstemious gluttonous
abstract concrete
abstractly concretely
abstractness concreteness
abundance scarcity
abundant scarce
abused unabused
abut adjoin
acarpelous carpellate
acatalectic catalectic
acatalectic hypercatalectic
acaudate caudate
acaulescent caulescent
accelerate curb
accelerate decelerate
accelerate delay
accelerate hinder
accelerate slow
acceleration deceleration
accentual quantitative
accentual syllabic
accept ignore
accept oppose
accept rebuff
accept refuse
accept reiterate
accept reject
accept rescind
acceptability unacceptability
acceptable unacceptable
acceptably unacceptably
acceptance rejection
acceptive rejective
accessibility inaccessibility
accessible inaccessible
accidentally deliberately
accommodating unaccommodating
accompanied unaccompanied
accordant discordant
accrual_basis cash_basis
accuracy inaccuracy
accurate inaccurate
accurately inaccurately
accusatorial inquisitorial
accuse blame
accuse praise
accuse urge
accustomed unaccustomed
achiever loser
achlamydeous chlamydeous
achondritic chondritic
achromatic chromatic
achromatic_color chromatic_color
achromatinic chromatinic
acid-loving alkaline-loving
acidic alkaline
acidic amphoteric
acidify alkalize
acidity alkalinity
acknowledge deny
acknowledge downplay
acknowledge ignore
acknowledged unacknowledged
acquaintance stranger
acquire divest
acquire lose
acquisitive unacquisitive
acquit censure
acquit convict
acquit indict
acquit sentence
acquittal conviction
acrocarp pleurocarp
acrocarpous pleurocarpous
acropetal basipetal
acroscopic basiscopic
act refrain
actable unactable
actinal abactinal
actinomorphic zygomorphic
action inaction
activate deactivate
activate inactivate
activation deactivation
activation inactivation
activator inhibitor
active dormant
active extinct
active inactive
active passive
active quiet
active stative
active_trust passive_trust
active_voice passive_voice
actively passively
activeness inactiveness
activity inactivity
actual potential
actual_sin original_sin
acute chronic
acute obtuse
acutely chronically
acuteness obtuseness
acyclic cyclic
adaptability unadaptability
adaptable unadaptable
adaptive maladaptive
adaxial abaxial
adaxially abaxially
add drop
add subtract
add take_away
addicted unaddicted
addictive nonaddictive
addition subtraction
additive subtractive
address ignore
addressed unaddressed
adducent abducent
adduct abduct
adequacy inadequacy
adequate inadequate
adequately inadequately
adhesive nonadhesive
adiabatic diabatic
adience abience
adient abient
adjective substantive
adjoin abut
adjoin house
adjourn recess
adjusted maladjusted
adjusted unadjusted
administer withhold
admire dislike
admire doubt
admire find
admire hate
admire look_down_on
admissibility inadmissibility
admissible inadmissible
admit deny
admit exclude
admit reject
admonish caution
adnate connate
adopt reject
adoptable unadoptable
adopted native
adoptive biological
adore despise
adore detest
adore dislike
adore hate
adore marry
adore pity
adorned unadorned
adroit maladroit
adroitly maladroitly
adscript subscript
adscript superscript
adsorbable absorbable
adsorbent nonadsorbent
adult juvenile
adulterating purifying
advance back
advance decline
advance recede
advance retreat
advantage disadvantage
advantageous disadvantageous
advantageously disadvantageously
adventurous unadventurous
advertently inadvertently
advisability inadvisability
advisable inadvisable
advocate condemn
advocate criticize
advocate denounce
advocate oppose
advocate reject
aerobic anaerobic
aesthetic inaesthetic
aestivate hibernate
afebrile febrile
affect plague
affect reflect
affected unaffected
affectedness unaffectedness
afferent efferent
affinity consanguinity
affirm contradict
affirm invalidate
affirm negate
affirm overrule
affirm overturn
affirm reconsider
affirm reject
affirm reverse
affirmation reversal
affirmative negative
affixed unaffixed
afford want
afloat aground
afraid unafraid
aft fore
age rejuvenate
aged young
aggrade degrade
aggressive unaggressive
agitate calm
agitated unagitated
agitation calmness
agnostic gnostic
agonist antagonist
agree disagree
agreeable disagreeable
agreeableness disagreeableness
agreeably disagreeably
agreement disagreement
aground afloat
ahead back
ahistorical historical
air premiere
air-to-air air-to-surface
air-to-air surface-to-air
air-to-surface air-to-air
air-to-surface surface-to-air
air_mail surface_mail
airlift ferry
airworthy unairworthy
alarm dismay
alarming unalarming
alcoholic nonalcoholic
alert caution
alert unalert
algorithmic heuristic
alienable inalienable
alienate energize
align skew
aligned nonaligned
alignment nonalignment
alike unalike
aliquant aliquot
aliquot aliquant
alive dead
alkaline acidic
alkaline amphoteric
alkaline-loving acid-loving
alkalinity acidity
alkalize acidify
all no
all some
allege charge
allege cite
allege document
alleviate cause
alleviate deepen
allochthonous autochthonous
allogamy autogamy
allogeneic xenogeneic
allopathic homeopathic
allopathy homeopathy
allopatric sympatric
allopatry sympatry
allow ban
allow bar
allow block
allow deny
allow disallow
allow forbid
allow outlaw
allow prevent
allow prohibit
alphabetic analphabetic
alterability unalterability
alterable unalterable
altered unaltered
alternate opposite
alternating direct
alternating_current direct_current
altricial precocial
altruism egoism
altruistic egoistic
amateur professional
amateurishly expertly
amaze bore
ambidextrous left-handed
ambidextrous right-handed
ambiguity unambiguity
ambiguous unambiguous
ambiguously unambiguously
ambitious unambitious
ambitiously unambitiously
ambiversion extraversion
ambiversion introversion
ambiversive extroversive
ambiversive introversive
ambush escort
amend annul
amend nullify
amend override
amend revoke
amended unamended
ametabolic metabolic
ametropic emmetropic
amicable hostile
amphibious aquatic
amphibious terrestrial
amphitropous anatropous
amphoteric acidic
amphoteric alkaline
ample meager
amply meagerly
anabatic katabatic
anabolic catabolic
anabolism catabolism
anaclinal cataclinal
anadromous catadromous
anadromous diadromous
anaerobic aerobic
anal oral
analogous heterologous
analogous homologous
analogue digital
analphabetic alphabetic
analysis synthesis
analytic synthetic
analyze synthesize
analyzed unanalyzed
anamorphism katamorphism
anaphrodisia aphrodisia
anaphrodisiac aphrodisiac
anapsid diapsid
anastalsis peristalsis
anastigmatic astigmatic
anatropous amphitropous
ancestor descendant
androgynous female
androgynous male
anemophilous entomophilous
anesthetize bring_to
anestrous estrous
anestrus estrus
anger please
angry unangry
angular rounded
angularity roundness
anhydrous hydrous
animate inanimate
animated unanimated
animateness inanimateness
anionic cationic
anisotropic isotropic
anisotropy isotropy
annex cede
annihilate vanquish
annoy bore
annoy interest
annoy intrigue
annoy terrify
annual biennial
annual perennial
annul amend
annul approve
annul enforce
annul postpone
annul ratify
annul uphold
anode cathode
anodic cathodic
anonymous onymous
anovulation ovulation
answer deflect
answer dodge
answer question
answer rebuff
answer refuse
answer reject
antagonist agonist
antagonist synergist
antagonistic conciliatory
antagonistic synergistic
antagonize appease
antagonize placate
antapex apex
antecedent subsequent
antemeridian postmeridian
antemortem postmortem
anterior posterior
anteriority posteriority
anterograde retrograde
anti pro
anti-American pro-American
anticatalyst catalyst
anticholinergic cholinergic
anticlimactic climactic
anticlinal synclinal
anticyclone cyclone
antimagnetic magnetic
antinode node
antipyretic pyretic
antiseptic septic
antitype type
antonym synonym
antonymous synonymous
antrorse retrorse
aperiodic periodic
apetalous petalous
apex antapex
aphelion perihelion
aphrodisia anaphrodisia
aphrodisiac anaphrodisiac
aplacental placental
apoapsis periapsis
apocarpous syncarpous
apocrine eccrine
apogee perigee
apojove perijove
apologetic unapologetic
apolune perilune
apophatism cataphatism
apophatism doctrine_of_analogy
aposelene periselene
appeal await
appeal enforce
appealable unappealable
appealing unappealing
appealingly unappealingly
appear disappear
appearance disappearance
appease antagonize
appease inflame
appease infuriate
appease persuade
appease sway
append delete
appendaged unappendaged
appetizing unappetizing
appetizingness unappetizingness
applaud boo
applaud criticize
applaud decry
applaud denounce
applaud deride
applaud oppose
applaud protest
applicability inapplicability
applied theoretical
appoint elect
appointive elective
appositeness inappositeness
appreciate depreciate
appreciation depreciation
appreciatively unappreciatively
approachability unapproachability
approachable unapproachable
approbate reprobate
approbation disapprobation
appropriate inappropriate
appropriately inappropriately
appropriateness inappropriateness
approval disapproval
approve delay
approve disapprove
approve oppose
approve postpone
approve reject
approve suspend
approvingly disapprovingly
apropos malapropos
apteral peripteral
aptitude inaptitude
aptness inaptness
aquatic amphibious
aquatic terrestrial
aqueous igneous
arbitrable nonarbitrable
arbitrary nonarbitrary
arbitrate settle
arboreal nonarboreal
arenaceous argillaceous
argillaceous arenaceous
argue concede
argue ignore
argumentative unargumentative
arise lie_down
arise sit_down
arm disarm
arm fight
armament disarmament
armed armless
armed unarmed
arming disarming
armless armed
armored unarmored
arrange disarrange
arrange provide
arranged disarranged
arrive leave
artesian subartesian
artful artless
artfulness artlessness
articulate inarticulate
articulated unarticulated
articulately inarticulately
artifact natural_object
artificial natural
artificial_language natural_language
artificially naturally
artless artful
artlessness artfulness
ascend descend
ascending descending
ascending_node descending_node
ascent descent
asexual sexual
ashamed unashamed
ashamedly unashamedly
ask say
asleep awake
assail praise
assail question
assail ridicule
assassinate murder
assassinate topple
assemble disassemble
assembly disassembly
assent dissent
assert assume
assert question
assert reiterate
assertive unassertive
assertively unassertively
asset liability
assigned unassigned
assimilate dissimilate
assisted unassisted
associate dissociate
association disassociation
associative nonassociative
assortative_mating disassortative_mating
assume assert
assume inherit
assume reiterate
assure thank
astigmatic anastigmatic
astigmatism stigmatism
astomatous stomatous
astringent nonastringent
asymmetrical symmetrical
asymmetrically symmetrically
asymmetry symmetry
asynchronism synchronism
asynchronous synchronous
asynchronous_operation synchronous_operation
asyndetic syndetic
at_best at_worst
at_least at_most
at_most at_least
at_the_least at_the_most
at_the_most at_the_least
at_worst at_best
atheism theism
atomism holism
atomistic holistic
atonal tonal
atonality tonality
atonic tonic
atonicity tonicity
atrophied hypertrophied
attach detach
attach insert
attachable detachable
attached detached
attached unattached
attack defend
attack overrun
attend boycott
attend host
attend miss
attend_to neglect
attendance nonattendance
attention inattention
attentive inattentive
attentiveness inattentiveness
attract repel
attraction repulsion
attractive repulsive
attractive unattractive
attractively unattractively
attractiveness unattractiveness
attributable unattributable
attributive predicative
atypical typical
atypicality typicality
atypically typically
auction allocate
auction liquidate
audibility inaudibility
audible inaudible
audibly inaudibly
augmentation diminution
aunt uncle
auspicious inauspicious
auspiciously inauspiciously
auspiciousness inauspiciousness
authorise restrict
authorize ban
authorize bar
authorize condemn
authorize forbid
authorize prohibit
authorize reject
authorize suspend
authorized unauthorized
autochthonous allochthonous
autoecious heteroecious
autogamous endogamous
autogamous exogamous
autogamy allogamy
autogenous heterogenous
autologous heterologous
autologous homologous
automatic manual
autotrophic heterotrophic
autumnal summery
autumnal vernal
autumnal wintry
autumnal_equinox vernal_equinox
availability unavailability
available unavailable
avascular vascular
avenged unavenged
average drop
avirulent virulent
avoid confront
avow disavow
await appeal
await undergo
awake asleep
awaken cause_to_sleep
awakened unawakened
award rescind
award withhold
aware unaware
away home
away_game home_game
awed unawed
awkward graceful
awkwardness gracefulness
awned awnless
awnless awned
azonal zonal
back advance
back ahead
back condemn
back front
back oppose
back veer
back_burner front_burner
backed backless
background foreground
backhand forehand
backless backed
backward forward
bad good
bad great
bad_egg good_egg
bad_guy good_guy
bad_luck good_luck
bad_person good_person
bad_weather good_weather
badly well
badness goodness
bake boil
bake fry
bake mash
bake refrigerate
bake saute
bake steam
balance boost
balance imbalance
balance unbalance
balanced unbalanced
balconied unbalconied
ban abolish
ban allow
ban authorize
ban exempt
ban legalize
ban permit
banded unbanded
baptized unbaptized
bar allow
bar authorize
bar govern
bar permit
bar regulate
bar unbar
bare covered
barreled unbarreled
barricade besiege
base ignore
bash poke
basic incidental
basipetal acropetal
basiscopic acroscopic
bat miss
bat slug
be_active rest
be_born die
be_full starve
be_well suffer
beaked beakless
beakless beaked
beam stream
beam transmit
bear bull
bearing nonbearing
beat blank
beat trounce
beautiful ugly
beautify uglify
beauty ugliness
become need
becomingness unbecomingness
bedded bedless
bedless bedded
begin conclude
begin continue
begin end
begin stop
beginning end
beginning ending
beginning middle
begrudge wish
behave misbehave
behead free
being nonbeing
belief unbelief
believably unbelievably
believe disbelieve
believe dispute
believe hate
believe understand
believingly unbelievingly
belittle dispute
bellied bellyless
bellyless bellied
below above
belt hammer
belt unbelt
belted unbelted
bend straighten
bend unbend
beneficed unbeneficed
beneficence maleficence
beneficent maleficent
benefit harm
benefit hurt
benefit jeopardize
benevolence malevolence
benevolently malevolently
benign malign
benign malignant
benignancy malignancy
benignity malignity
bequeath disinherit
berth dock
berth moor
beseeching imperative
besiege barricade
best worst
better worse
better worsen
bettering worsening
bibbed bibless
bibless bibbed
bicameral unicameral
bidirectional unidirectional
biennial annual
biennial perennial
big little
big small
bigness littleness
bimodal unimodal
binaural monaural
binaurally monaurally
bind unbind
binucleate mononuclear
binucleate trinucleate
biodegradable_pollution nonbiodegradable_pollution
biological adoptive
biped quadruped
bipedal quadrupedal
bipolar unipolar
birth death
bisexual heterosexual
bisexual homosexual
bite trap
bivalent multivalent
bivalent univalent
bivalve univalve
black white
black-and-white color
blacken whiten
blame absolve
blame accuse
blame acknowledge
blame praise
blanch pickle
blank beat
blemished unblemished
blended unblended
bless curse
blessed cursed
blind sighted
blink shine
block approve
block permit
block unblock
blockade guard
blockade picket
blond brunet
bloodily bloodlessly
bloodless bloody
bloodlessly bloodily
bloody bloodless
blow tear
blow_up reduce
bludgeon kill
blue white
blue-collar white-collar
blunt sharpen
blunt_file taper_file
blur focus
blur reflect
boarding_school day_school
bobble throw
bodied unbodied
boil bake
boil eat
boil freeze
boil fry
boil grill
boil roast
boil soak
boil steam
bold timid
boldness timidity
bolster diminish
bolster erode
bolster undercut
bolster undermine
bolster weaken
bolt quit
bolt unbolt
boneless bony
bony boneless
boo applaud
boo cheer
boost cut
boost depress
boost weaken
boot lace
bordered unbordered
bore amaze
bore annoy
bore entertain
bore excite
bore fascinate
bore interest
bore intrigue
born unborn
borrow buy
borrow deposit
borrow donate
borrow lend
borrower lender
bottle dry
bottle jar
bottle squeeze
bottle-fed breast-fed
bottlefeed breastfeed
bottom side
bottom top
bottom-up top-down
bottom_out top_out
bottomed bottomless
bottomless bottomed
bounce clear
bounce line
bounce miss
bound free
bound unbound
bowed plucked
box unbox
boy girl
boycott attend
boycott contest
boycott participate
boycott patronise
boycott patronize
brachycephalic dolichocephalic
bracteate ebracteate
braid unbraid
brainwashed unbrainwashed
braise chop
branchiate abranchiate
branchless branchy
branchy branchless
brand-name_drug generic_drug
branded unbranded
brandish fire
brandish use
brave cowardly
brave timid
breach weaken
bread cake
break keep
break make
break repair
break_even lose
break_even profit
breakable unbreakable
breakableness unbreakableness
breast-fed bottle-fed
breasted breastless
breastfeed bottlefeed
breastfeed cry
breastless breasted
breathing breathless
breathless breathing
breed graze
bribe coerce
bribe intimidate
bridgeable unbridgeable
bridle unbridle
bright dull
brighten darken
brighten dim
brightness dullness
brine marinate
bring take_away
bring_to anesthetize
broad-minded narrow-minded
broad-mindedly narrow-mindedly
broad-mindedness narrow-mindedness
broadcast programme
broaden limit
broaden narrow
broaden restrict
broadly narrowly
broil saute
broken unbroken
broker renew
bronze silver
brother sister
brotherly sisterly
browse search
brunet blond
brush dismiss
brush ignore
brush sidestep
buckle unbuckle
bug debug
build buy
build purchase
build renovate
bull bear
bundle resell
burden unburden
burdened unburdened
buried unburied
burn douse
burn erect
burn haul
burn spray
burst collapse
bury burn
bury destroy
bury evacuate
bury herd
bury leave
bury miss
bury scatter
bury wash
bus flight
busy idle
butter oil
butter pickle
butter stick
button unbutton
buttoned unbuttoned
buttress refute
buttress undermine
buy borrow
buy build
buy donate
buy lease
buy sell
by_all_means by_no_means
by_hand by_machine
by_machine by_hand
by_no_means by_all_means
cacodemon eudemon
cacophonous euphonious
caducous persistent
cake bread
calced discalced
calcicolous calcifugous
calcifugous calcicolous
calcify decalcify
calculable incalculable
call write
call_option put_option
calm agitate
calm quell
calm stormy
calmness agitation
camphorated uncamphorated
campylotropous orthotropous
cancel accept
cancel approve
cancel defer
cancel hold
cancel renew
cancel reschedule
cancel suspend
capability incapability
capable incapable
capableness incapableness
capacity incapacity
capitalism socialism
capitalistic socialistic
captor liberator
cardinal ordinal
cared-for uncared-for
careful careless
carefully carelessly
carefulness carelessness
careless careful
carelessly carefully
carelessness carefulness
carinate ratite
carnivorous herbivorous
carnivorous insectivorous
carnivorous omnivorous
carpellate acarpelous
carpeted uncarpeted
carry_to_term miscarry
carved uncarved
carvel-built clinker-built
cash credit
cash_account margin_account
cash_basis accrual_basis
cast_off cast_on
cast_on cast_off
castigate praise
castrated uncastrated
catabolic anabolic
catabolism anabolism
cataclinal anaclinal
catadromous anadromous
catadromous diadromous
catalectic acatalectic
catalectic hypercatalectic
catalyst anticatalyst
cataphatism apophatism
cataphatism doctrine_of_analogy
catarrhine leptorrhine
catarrhine platyrrhine
catch miss
categorem syncategorem
categorematic syncategorematic
categoreme syncategoreme
cathode anode
cathodic anodic
cationic anionic
caudal cephalic
caudate acaudate
caulescent acaulescent
cauline radical
caulked uncaulked
causative noncausative
cause alleviate
cause cure
cause prevent
cause provoke
cause_to_sleep awaken
caution admonish
caution alert
caution incaution
caution pressure
caution worry
cautious incautious
cautiously incautiously
cease commence
cease continue
cease restart
cease resume
cede annex
cede relinquish
cede retain
ceilinged floored
cellular noncellular
cenobite eremite
cenobitic eremitic
cenogenesis palingenesis
cenogenetic palingenetic
censored uncensored
censure acquit
center left
center right
central peripheral
centralise decentralise
centrality marginality
centralization decentralization
centralize decentralize
centralize outsource
centralized decentralized
centralizing decentralizing
centrally peripherally
centrifugal centripetal
centrifugal_force centripetal_force
centripetal centrifugal
centripetal_force centrifugal_force
cephalic caudal
cerebral emotional
ceremoniously unceremoniously
ceremoniousness unceremoniousness
certain uncertain
certainty uncertainty
certified uncertified
certify decertify
certify exempt
certify reinstate
chain unchain
challenge accept
challenge defend
challenge endorse
challenge support
challenge uphold
change abandon
change stay
changeable unchangeable
changeableness changelessness
changed unchanged
changelessness changeableness
characteristic uncharacteristic
characteristically uncharacteristically
characterize outline
charge allege
charge discharge
charge pay_cash
charge reimburse
charge suspect
charged uncharged
charitable uncharitable
chart outline
chartered unchartered
chase trail
chaste unchaste
cheap expensive
cheaply expensively
check_in check_out
check_out check_in
cheer boo
cheer complain
cheerful depressing
cheerfully cheerlessly
cheerfulness cheerlessness
cheerfulness uncheerfulness
cheerlessly cheerfully
cheerlessness cheerfulness
cheese ham
cherish forget
chide praise
child parent
chill warm
chill weaken
chivalrously unchivalrously
chlamydeous achlamydeous
choke drown
choke paralyze
cholinergic anticholinergic
chondritic achondritic
chop flake
chop grate
chop shred
christian unchristian
chromatic achromatic
chromatic diatonic
chromatic_color achromatic_color
chromatinic achromatinic
chronic acute
chronically acutely
chunk slice
circle cross
circumstantial_evidence direct_evidence
circumvent defy
circumvent ease
cismontane tramontane
cite dismiss
citizen noncitizen
civil sidereal
civil uncivil
civil_law international_law
civilian military
civilian serviceman
civility incivility
civilized noncivilized
civilly uncivilly
claim declare
claim disclaim
claim forfeit
claim have
clap cry
clap pat
clarify contradict
clarify nullify
clarify obfuscate
clarity obscurity
clarity opacity
clasp unclasp
classical nonclassical
classicism Romanticism
classicist romanticist
classification declassification
classified unclassified
classify declassify
classify exempt
clean dirty
clean unclean
cleanliness uncleanliness
cleanness dirtiness
clear bounce
clear cloudy
clear opaque
clear unclear
clear_up overcast
cleared uncleared
clearheaded confused
clearness unclearness
clement inclement
clergy laity
clergyman layman
climactic anticlimactic
climb decrease
climb drop
climb edge
climb fall
climb fell
climb sink
clinch finish
clinch lose
clinch win
clinker-built carvel-built
clip unclip
clock finish
clock_in clock_out
clock_out clock_in
clockwise counterclockwise
clog jam
clog unclog
clone mate
close distant
close open
close_up open_up
closed open
closed_chain open_chain
closed_circuit open_circuit
closed_interval open_interval
closeness openness
closing opening
clothed unclothed
cloudy clear
clutter unclutter
coach play
coarse fine
coarsely finely
coastal inland
coat salt
coated uncoated
coddle coerce
coerce arrest
coerce bribe
coerce coddle
cognizance incognizance
coherence incoherence
