able unable
unable able
abaxial adaxial
adaxial abaxial
acroscopic basiscopic
basiscopic acroscopic
abducent adducent
adducent abducent
nascent dying
dying nascent
abridged unabridged
unabridged abridged
absolute relative
relative absolute
absorbent nonabsorbent
nonabsorbent absorbent
adsorbent nonadsorbent
nonadsorbent adsorbent
absorbable adsorbable
adsorbable absorbable
abstemious gluttonous
gluttonous abstemious
abstract concrete
concrete abstract
abundant scarce
scarce abundant
abused unabused
unabused abused
acceptable unacceptable
unacceptable acceptable
accessible inaccessible
inaccessible accessible
accommodating unaccommodating
unaccommodating accommodating
accurate inaccurate
inaccurate accurate
accustomed unaccustomed
unaccustomed accustomed
acidic alkaline
acidic amphoteric
alkaline acidic
alkaline amphoteric
amphoteric acidic
amphoteric alkaline
acid-loving alkaline-loving
alkaline-loving acid-loving
acknowledged unacknowledged
unacknowledged acknowledged
acquisitive unacquisitive
unacquisitive acquisitive
acropetal basipetal
basipetal acropetal
active inactive
inactive active
active inactive
inactive active
active inactive
inactive active
active inactive
inactive active
active passive
passive active
active dormant
dormant active
extinct active
active extinct
active stative
stative active
active passive
passive active
active inactive
inactive active
active quiet
quiet active
actual potential
potential actual
acute chronic
chronic acute
virulent avirulent
avirulent virulent
adaptive maladaptive
maladaptive adaptive
addicted unaddicted
unaddicted addicted
addictive nonaddictive
nonaddictive addictive
additive subtractive
subtractive additive
addressed unaddressed
unaddressed addressed
adequate inadequate
inadequate adequate
adhesive nonadhesive
nonadhesive adhesive
adjective substantive
substantive adjective
adoptable unadoptable
unadoptable adoptable
adorned unadorned
unadorned adorned
cholinergic anticholinergic
anticholinergic cholinergic
adroit maladroit
maladroit adroit
advantageous disadvantageous
disadvantageous advantageous
adventurous unadventurous
unadventurous adventurous
advisable inadvisable
inadvisable advisable
well-advised ill-advised
ill-advised well-advised
aerobic anaerobic
anaerobic aerobic
aerobic anaerobic
anaerobic aerobic
aesthetic inaesthetic
inaesthetic aesthetic
affected unaffected
unaffected affected
affected unaffected
unaffected affected
affirmative negative
negative affirmative
acceptive rejective
rejective acceptive
afloat aground
aground afloat
afraid unafraid
unafraid afraid
aggressive unaggressive
unaggressive aggressive
agitated unagitated
unagitated agitated
agitated unagitated
unagitated agitated
agreeable disagreeable
disagreeable agreeable
air-to-surface air-to-air
air-to-surface surface-to-air
air-to-air air-to-surface
air-to-air surface-to-air
surface-to-air air-to-air
surface-to-air air-to-surface
alert unalert
unalert alert
algorithmic heuristic
heuristic algorithmic
alienable inalienable
inalienable alienable
alive dead
dead alive
apocrine eccrine
eccrine apocrine
artesian subartesian
subartesian artesian
live dead
dead live
alphabetic analphabetic
analphabetic alphabetic
altricial precocial
precocial altricial
altruistic egoistic
egoistic altruistic
ambiguous unambiguous
unambiguous ambiguous
ambitious unambitious
unambitious ambitious
ametropic emmetropic
emmetropic ametropic
ample meager
meager ample
anabolic catabolic
catabolic anabolic
anaclinal cataclinal
cataclinal anaclinal
anastigmatic astigmatic
astigmatic anastigmatic
anticlinal synclinal
synclinal anticlinal
anadromous catadromous
anadromous diadromous
catadromous anadromous
catadromous diadromous
diadromous anadromous
diadromous catadromous
anabatic katabatic
katabatic anabatic
anal oral
oral anal
analogue digital
digital analogue
analytic synthetic
synthetic analytic
analytic synthetic
synthetic analytic
analytic synthetic
synthetic analytic
inflectional derivational
derivational inflectional
apocarpous syncarpous
syncarpous apocarpous
angry unangry
unangry angry
resentful unresentful
unresentful resentful
sentient insentient
insentient sentient
animate inanimate
inanimate animate
animated unanimated
unanimated animated
enlivened unenlivened
unenlivened enlivened
animate inanimate
inanimate animate
anonymous onymous
onymous anonymous
antemortem postmortem
postmortem antemortem
antecedent subsequent
subsequent antecedent
antrorse retrorse
retrorse antrorse
aquatic amphibious
aquatic terrestrial
terrestrial amphibious
terrestrial aquatic
amphibious aquatic
amphibious terrestrial
preceding succeeding
succeeding preceding
precedented unprecedented
unprecedented precedented
prehensile nonprehensile
nonprehensile prehensile
prenatal perinatal
prenatal postnatal
perinatal postnatal
perinatal prenatal
postnatal perinatal
postnatal prenatal
preprandial postprandial
postprandial preprandial
prewar postwar
postwar prewar
retrograde anterograde
anterograde retrograde
antemeridian postmeridian
postmeridian antemeridian
anterior posterior
posterior anterior
dorsal ventral
ventral dorsal
appealable unappealable
unappealable appealable
appendaged unappendaged
unappendaged appendaged
appetizing unappetizing
unappetizing appetizing
approachable unapproachable
unapproachable approachable
appropriate inappropriate
inappropriate appropriate
due undue
undue due
due undue
undue due
apropos malapropos
malapropos apropos
a_priori a_posteriori
a_posteriori a_priori
apteral peripteral
peripteral apteral
arbitrable nonarbitrable
nonarbitrable arbitrable
columned noncolumned
noncolumned columned
arboreal nonarboreal
nonarboreal arboreal
arenaceous argillaceous
argillaceous arenaceous
armed unarmed
unarmed armed
armored unarmored
unarmored armored
armed unarmed
unarmed armed
armed armless
armless armed
armored unarmored
unarmored armored
artful artless
artless artful
articulate inarticulate
inarticulate articulate
speaking nonspeaking
nonspeaking speaking
articulated unarticulated
unarticulated articulated
ashamed unashamed
unashamed ashamed
assertive unassertive
unassertive assertive
associative nonassociative
nonassociative associative
attached unattached
unattached attached
affixed unaffixed
unaffixed affixed
sessile pedunculate
pedunculate sessile
sessile vagile
vagile sessile
attached detached
detached attached
stuck unstuck
unstuck stuck
attachable detachable
detachable attachable
wary unwary
unwary wary
attentive inattentive
inattentive attentive
attractive unattractive
unattractive attractive
attractive repulsive
repulsive attractive
appealing unappealing
unappealing appealing
attributable unattributable
unattributable attributable
attributive predicative
predicative attributive
pregnant nonpregnant
nonpregnant pregnant
audible inaudible
inaudible audible
sonic subsonic
sonic supersonic
subsonic sonic
subsonic supersonic
supersonic sonic
supersonic subsonic
auspicious inauspicious
inauspicious auspicious
propitious unpropitious
unpropitious propitious
authorized unauthorized
unauthorized authorized
constitutional unconstitutional
unconstitutional constitutional
autochthonous allochthonous
allochthonous autochthonous
autoecious heteroecious
heteroecious autoecious
autogenous heterogenous
heterogenous autogenous
automatic manual
manual automatic
available unavailable
unavailable available
awake asleep
asleep awake
astringent nonastringent
nonastringent astringent
aware unaware
unaware aware
witting unwitting
unwitting witting
alarming unalarming
unalarming alarming
anemophilous entomophilous
entomophilous anemophilous
reassuring unreassuring
unreassuring reassuring
back front
front back
leading following
following leading
backed backless
backless backed
backward forward
forward backward
forward reverse
reverse forward
backward forward
forward backward
balconied unbalconied
unbalconied balconied
barreled unbarreled
unbarreled barreled
beaked beakless
beakless beaked
bedded bedless
bedless bedded
beneficed unbeneficed
unbeneficed beneficed
stratified unstratified
unstratified stratified
ferned fernless
fernless ferned
grassy grassless
grassless grassy
gusseted ungusseted
ungusseted gusseted
hairless hairy
hairy hairless
awned awnless
awnless awned
bearing nonbearing
nonbearing bearing
beautiful ugly
ugly beautiful
bellied bellyless
bellyless bellied
banded unbanded
unbanded banded
belted unbelted
unbelted belted
beneficent maleficent
maleficent beneficent
